	world	node	child	value	prob	N	softmaxval	dv_0.5	dv_0.55	dv_0.6	dv_0.65	dv_0.7	dv_0.75	dv_0.8	dv_0.85	dv_0.9	dv_0.95
45	bunker3	N4351810	N9720811	16.9	0.8305084745999999	59	0.3697397771	9.6	10.33	11.06	11.79	12.52	13.25	13.98	14.71	15.44	16.17
44	bunker3	N4351810	N6831977	15.3	0.16949152539999998	59	0.6302602229	13.35	13.545	13.74	13.935	14.13	14.325	14.52	14.715	14.91	15.105
11	bunker3	N1657801	N4351810	13.642857999999999	0.4682539683	126	0.360907156	8.179	8.725	9.271	9.818	10.364	10.911	11.457	12.004	12.55	13.096
10	bunker3	N1657801	N7360841	11.928571	0.5317460317	126	0.639092844	8.893	9.196	9.5	9.804	10.107	10.411	10.714	11.018	11.321	11.625
21	cathedral	N608136	N7058269	13.299999	0.8086956522	115	0.5825703686	8.4	8.89	9.38	9.87	10.36	10.85	11.34	11.83	12.32	12.81
22	cathedral	N608136	N9813836	14.300001000000002	0.19130434780000002	115	0.4174296314	9.1	9.62	10.14	10.66	11.18	11.7	12.22	12.74	13.26	13.78
53	cathedral	N7058269	N6429694	18.666667999999998	0.6063829787	94	0.3147988316	10.25	11.092	11.933	12.775	13.617	14.458	15.3	16.142	16.983	17.825
52	cathedral	N7058269	N6051250	16.333332000000002	0.39361702130000004	94	0.6852011684	12.75	13.108	13.467	13.825	14.183	14.542	14.9	15.258	15.617	15.975
0	courtyard	N3719219	N990982	6.8	0.7777777778	126	0.6145944983	4.5	4.73	4.96	5.19	5.42	5.65	5.88	6.11	6.34	6.57
3	courtyard	N990982	N3622934	14.0	0.0	98	0.10802155599999999	11.333	11.6	11.867	12.133	12.4	12.667	12.933	13.2	13.467	13.733
2	courtyard	N990982	N6673600	7.666666499999999	1.0	98	0.891978444	4.833	5.117	5.4	5.683	5.967	6.25	6.533	6.817	7.1	7.383
1	courtyard	N3719219	N3977188	8.2	0.22222222219999999	126	0.38540550170000004	5.85	6.085	6.32	6.555	6.79	7.025	7.26	7.495	7.73	7.965
20	cubicles	N9556533	N4932175	14.642857000000001	0.032	125	0.383152204	7.964	8.632	9.3	9.968	10.636	11.304	11.971	12.639	13.307	13.975
75	cubicles	N8892822	N2137138	19.0	0.0652173913	46	0.4011611792	13.25	13.825	14.4	14.975	15.55	16.125	16.7	17.275	17.85	18.425
74	cubicles	N8892822	N9981263	18.5	0.9347826087000001	46	0.4739159363	10.875	11.638	12.4	13.163	13.925	14.688	15.45	16.213	16.975	17.738
33	cubicles	N9487763	N3493111	19.1	0.0	126	0.1373155875	10.85	11.675	12.5	13.325	14.15	14.975	15.8	16.625	17.45	18.275
32	cubicles	N9487763	N8892822	17.1	0.3650793651	126	0.2674542441	9.7	10.44	11.18	11.92	12.66	13.4	14.14	14.88	15.62	16.36
76	cubicles	N8892822	N5568770	22.5	0.0	46	0.1249228845	13.375	14.288	15.2	16.113	17.025	17.938	18.85	19.763	20.675	21.588
19	cubicles	N9556533	N9487763	13.214286999999999	0.968	125	0.6168477960000001	7.964	8.489	9.014	9.539	10.064	10.589	11.114	11.639	12.164	12.689
31	cubicles	N9487763	N9527877	14.700001	0.6349206349000001	126	0.5952301684	9.55	10.065	10.58	11.095	11.61	12.125	12.64	13.155	13.67	14.185
7	cubicles	N2319363	N3487541	13.549999	0.0	107	0.21982845489999997	8.025	8.578	9.13	9.683	10.235	10.788	11.34	11.893	12.445	12.998
5	cubicles	N7210304	N8435133	10.652175	0.152	125	0.36569621979999994	5.978	6.446	6.913	7.38	7.848	8.315	8.783	9.25	9.717	10.185
95	cubicles	N9981263	N2381213	24.999998	0.023255814	43	0.1742853532	16.0	16.9	17.8	18.7	19.6	20.5	21.4	22.3	23.2	24.1
12	cubicles	N8435133	N9556533	11.944446000000001	1.0	19	0.76587868	6.806	7.319	7.833	8.347	8.861	9.375	9.889	10.403	10.917	11.431
4	cubicles	N7210304	N2319363	9.0	0.848	125	0.6343037802	4.761	5.185	5.609	6.033	6.457	6.88	7.304	7.728	8.152	8.576
94	cubicles	N9981263	N2053914	20.333332000000002	0.9767441859999999	43	0.8257146468000001	16.5	16.883	17.267	17.65	18.033	18.417	18.8	19.183	19.567	19.95
13	cubicles	N8435133	N4303499	15.499998999999999	0.0	19	0.23412132	8.583	9.275	9.967	10.658	11.35	12.042	12.733	13.425	14.117	14.808
6	cubicles	N2319363	N2367950	9.75	1.0	107	0.7801715451000001	5.525	5.948	6.37	6.793	7.215	7.638	8.06	8.483	8.905	9.328
112	garden	N8246099	N4984823	23.111113	0.0149253731	67	0.2710219422	13.5	14.461	15.422	16.383	17.344	18.306	19.267	20.228	21.189	22.15
111	garden	N8246099	N7102836	22.222225	0.0	67	0.36448878590000006	15.0	15.722	16.444	17.167	17.889	18.611	19.333	20.056	20.778	21.5
90	garden	N4747663	N1289190	20.454544	0.0	125	0.2473746577	12.682	13.459	14.236	15.014	15.791	16.568	17.345	18.123	18.9	19.677
54	garden	N7603509	N2138712	16.916666	0.4	70	0.7418405033	10.375	11.029	11.683	12.338	12.992	13.646	14.3	14.954	15.608	16.263
38	garden	N5115068	N4747663	17.714285	0.29600000000000004	125	0.18135427760000003	9.821	10.611	11.4	12.189	12.979	13.768	14.557	15.346	16.136	16.925
37	garden	N5115068	N7603509	15.571428	0.248	125	0.3704572746	8.321	9.046	9.771	10.496	11.221	11.946	12.671	13.396	14.121	14.846
36	garden	N5115068	N7850553	15.000001000000001	0.456	125	0.4481884478	8.571	9.214	9.857	10.5	11.143	11.786	12.429	13.071	13.714	14.357
91	garden	N4747663	N5433401	21.181818	0.0	125	0.19412054920000002	11.818	12.755	13.691	14.627	15.564	16.5	17.436	18.373	19.309	20.245
64	garden	N7850553	N6320060	18.0	0.45238095240000004	84	0.5332842042	10.15	10.935	11.72	12.505	13.29	14.075	14.86	15.645	16.43	17.215
130	garden	N1289190	N3717284	24.428572	0.0	2	0.5397826102000001	14.714	15.686	16.657	17.629	18.6	19.571	20.543	21.514	22.486	23.457
131	garden	N1289190	N2798849	26.714287	0.0	2	0.2519577677	16.286	17.329	18.371	19.414	20.457	21.5	22.543	23.586	24.629	25.671
88	garden	N4747663	N4619086	20.090908	0.46399999999999997	125	0.2792523966	11.0	11.909	12.818	13.727	14.636	15.545	16.455	17.364	18.273	19.182
132	garden	N1289190	N2469465	27.285715000000003	1.0	2	0.2082596222	16.571	17.643	18.714	19.786	20.857	21.929	23.0	24.071	25.143	26.214
89	garden	N4747663	N8246099	20.090908	0.536	125	0.2792523966	11.0	11.909	12.818	13.727	14.636	15.545	16.455	17.364	18.273	19.182
65	garden	N7850553	N4613075	18.400002	0.5476190476	84	0.4667157958	11.15	11.875	12.6	13.325	14.05	14.775	15.5	16.225	16.95	17.675
110	garden	N8246099	N7340845	22.222220999999998	0.9850746269	67	0.36448927189999997	12.722	13.672	14.622	15.572	16.522	17.472	18.422	19.372	20.322	21.272
55	garden	N7603509	N3123108	20.083336	0.6	70	0.2581594967	11.667	12.508	13.35	14.192	15.033	15.875	16.717	17.558	18.4	19.242
71	ikea	N1448237	N234416	19.785715	0.15873015869999998	126	0.24965402309999998	10.786	11.686	12.586	13.486	14.386	15.286	16.186	17.086	17.986	18.886
70	ikea	N1448237	N2396034	18.785713	0.015873015900000002	126	0.3484204889	12.357	13.0	13.643	14.286	14.929	15.571	16.214	16.857	17.5	18.143
69	ikea	N1448237	N4631048	18.357143	0.8253968254	126	0.4019254881	10.0	10.836	11.671	12.507	13.343	14.179	15.014	15.85	16.686	17.521
116	ikea	N2396034	N239392	23.5	0.0	2	0.41742979350000003	14.312	15.231	16.15	17.069	17.988	18.906	19.825	20.744	21.663	22.581
82	ikea	N4631048	N9016413	19.500002	0.9719626168000001	107	0.5862738728	12.875	13.538	14.2	14.862	15.525	16.188	16.85	17.513	18.175	18.838
115	ikea	N2396034	N5268104	22.5	1.0	2	0.5825702065	13.688	14.569	15.45	16.331	17.213	18.094	18.975	19.856	20.738	21.619
83	ikea	N4631048	N6560058	22.166667999999998	0.0	107	0.24102444829999997	15.542	16.204	16.867	17.529	18.192	18.854	19.517	20.179	20.842	21.504
84	ikea	N4631048	N5861572	23.166666	0.028037383199999998	107	0.17270167890000002	12.958	13.979	15.0	16.021	17.042	18.063	19.083	20.104	21.125	22.146
107	ikea	N234416	N9299941	23.666666	0.043478260899999996	23	0.2256101388	13.292	14.329	15.367	16.404	17.442	18.479	19.517	20.554	21.592	22.629
30	ikea	N9812190	N1448237	16.105263	0.376	125	0.37137653159999995	9.342	10.018	10.695	11.371	12.047	12.724	13.4	14.076	14.753	15.429
29	ikea	N9812190	N6109064	14.526314999999999	0.624	125	0.6286234684	8.816	9.387	9.958	10.529	11.1	11.671	12.242	12.813	13.384	13.955
106	ikea	N234416	N6099980	23.666666	0.043478260899999996	23	0.2256101388	16.792	17.479	18.167	18.854	19.542	20.229	20.917	21.604	22.292	22.979
105	ikea	N234416	N3896859	21.0	0.9130434783	23	0.5487797224000001	13.833	14.55	15.267	15.983	16.7	17.417	18.133	18.85	19.567	20.283
73	lab	N9935630	N7839123	19.777779000000002	0.2702702703	74	0.39068240530000004	11.278	12.128	12.978	13.828	14.678	15.528	16.378	17.228	18.078	18.928
72	lab	N9935630	N9994475	18.444445	0.7297297296999999	74	0.6093175947	10.5	11.294	12.089	12.883	13.678	14.472	15.267	16.061	16.856	17.65
104	lab	N4538173	N63617	21.72727	0.62	50	0.2059739657	11.318	12.359	13.4	14.441	15.482	16.523	17.564	18.605	19.645	20.686
103	lab	N4538173	N2899302	21.545456	0.0	50	0.21884297149999998	12.0	12.955	13.909	14.864	15.818	16.773	17.727	18.682	19.636	20.591
119	lab	N3633749	N9315520	22.88889	0.0	49	0.3095302842	15.333	16.089	16.844	17.6	18.356	19.111	19.867	20.622	21.378	22.133
101	lab	N4538173	N3633749	20.636364	0.38	50	0.296303751	11.273	12.209	13.145	14.082	15.018	15.955	16.891	17.827	18.764	19.7
121	lab	N3633749	N2601690	23.777779000000002	1.0	49	0.2301565208	12.556	13.678	14.8	15.922	17.044	18.167	19.289	20.411	21.533	22.656
135	lab	N2601690	N124975	26.25	0.46938775509999997	49	0.2944976277	15.812	16.856	17.9	18.944	19.988	21.031	22.075	23.119	24.163	25.206
39	lab	N8548928	N9935630	15.076923	0.48	125	0.4746961014	8.692	9.331	9.969	10.608	11.246	11.885	12.523	13.162	13.8	14.438
40	lab	N8548928	N2655524	15.692307000000001	0.28	125	0.38666040939999996	8.423	9.15	9.877	10.604	11.331	12.058	12.785	13.512	14.238	14.965
41	lab	N8548928	N4538173	18.76923	0.24	125	0.1386434892	10.038	10.912	11.785	12.658	13.531	14.404	15.277	16.15	17.023	17.896
120	lab	N3633749	N752499	23.777777	0.0	49	0.23015667420000002	12.667	13.778	14.889	16.0	17.111	18.222	19.333	20.444	21.556	22.667
129	lab	N5745806	N7444307	25.11111	0.2857142857	49	0.2710220739	14.722	15.761	16.8	17.839	18.878	19.917	20.956	21.994	23.033	24.072
134	lab	N2601690	N7646124	26.249997999999998	0.34693877549999996	49	0.29449782399999996	14.25	15.45	16.65	17.85	19.05	20.25	21.45	22.65	23.85	25.05
127	lab	N5745806	N1113507	24.222220999999998	0.6122448979999999	49	0.3644890845	13.944	14.972	16.0	17.028	18.056	19.083	20.111	21.139	22.167	23.194
102	lab	N4538173	N6476882	20.818182	0.0	50	0.2788793118	12.864	13.659	14.455	15.25	16.045	16.841	17.636	18.432	19.227	20.023
128	lab	N5745806	N9798875	24.222223	0.1020408163	49	0.3644888415	16.444	17.222	18.0	18.778	19.556	20.333	21.111	21.889	22.667	23.444
126	lab	N63617	N6241308	24.5	0.0	49	0.1911456446	14.0	15.05	16.1	17.15	18.2	19.25	20.3	21.35	22.4	23.45
125	lab	N63617	N2927853	23.9	0.0	49	0.2334658175	13.4	14.45	15.5	16.55	17.6	18.65	19.7	20.75	21.8	22.85
124	lab	N63617	N242960	23.7	0.0	49	0.2495607422	15.35	16.185	17.02	17.855	18.69	19.525	20.36	21.195	22.03	22.865
123	lab	N63617	N5745806	22.9	1.0	49	0.3258277957	12.0	13.09	14.18	15.27	16.36	17.45	18.54	19.63	20.72	21.81
122	lab	N3633749	N9447532	23.777779000000002	0.0	49	0.2301565208	13.833	14.828	15.822	16.817	17.811	18.806	19.8	20.794	21.789	22.783
133	lab	N2601690	N1930098	25.25	0.1836734694	49	0.4110045483	18.0	18.725	19.45	20.175	20.9	21.625	22.35	23.075	23.8	24.525
14	labyrinth3	N8899359	N8858377	12.727272	0.3650793651	126	0.41129564590000006	8.591	9.005	9.418	9.832	10.245	10.659	11.073	11.486	11.9	12.314
43	labyrinth3	N8858377	N1078752	16.5	0.6233766234	77	0.3906824846	10.5	11.1	11.7	12.3	12.9	13.5	14.1	14.7	15.3	15.9
42	labyrinth3	N8858377	N4938213	15.166667000000002	0.37662337659999995	77	0.6093175154	12.25	12.542	12.833	13.125	13.417	13.708	14.0	14.292	14.583	14.875
16	labyrinth3	N8899359	N7730376	14.545454000000001	0.253968254	126	0.2243599366	8.136	8.777	9.418	10.059	10.7	11.341	11.982	12.623	13.264	13.905
35	labyrinth3	N5316967	N8407469	16.571428	0.5974025974	77	0.36090730979999996	10.214	10.85	11.486	12.121	12.757	13.393	14.029	14.664	15.3	15.936
34	labyrinth3	N5316967	N4592326	14.857142999999999	0.4025974026	77	0.6390926902	12.357	12.607	12.857	13.107	13.357	13.607	13.857	14.107	14.357	14.607
15	labyrinth3	N8899359	N5316967	13.090910000000001	0.380952381	126	0.3643444175	8.364	8.836	9.309	9.782	10.255	10.727	11.2	11.673	12.145	12.618
9	library	N9553169	N6857034	12.066667	0.22222222219999999	126	0.4667159617	7.033	7.537	8.04	8.543	9.047	9.55	10.053	10.557	11.06	11.563
8	library	N9553169	N7453865	11.666667	0.7777777778	126	0.5332840382999999	6.267	6.807	7.347	7.887	8.427	8.967	9.507	10.047	10.587	11.127
81	library	N9747004	N1647237	24.0	0.0	37	0.1588691049	17.125	17.812	18.5	19.188	19.875	20.563	21.25	21.938	22.625	23.313
26	library	N6857034	N54623	16.454544	0.0079365079	126	0.287185951	9.182	9.909	10.636	11.364	12.091	12.818	13.545	14.273	15.0	15.727
80	library	N9747004	N8680754	19.0	1.0	37	0.8411308951	13.375	13.938	14.5	15.063	15.625	16.188	16.75	17.313	17.875	18.438
50	library	N2272684	N9747004	16.833332000000002	0.2936507937	126	0.41358855640000003	10.5	11.133	11.767	12.4	13.033	13.667	14.3	14.933	15.567	16.2
51	library	N2272684	N1620555	22.166666	0.0	126	0.0699019576	13.833	14.667	15.5	16.333	17.167	18.0	18.833	19.667	20.5	21.333
25	library	N6857034	N2272684	13.727272	0.9920634920999999	126	0.712814049	9.318	9.759	10.2	10.641	11.082	11.523	11.964	12.405	12.845	13.286
49	library	N2272684	N4522484	16.166666	0.7063492063	126	0.5165094861	10.0	10.617	11.233	11.85	12.467	13.083	13.7	14.317	14.933	15.55
117	museum	N4337909	N3311969	22.75	0.9142857143	35	0.6607563688	13.562	14.481	15.4	16.319	17.238	18.156	19.075	19.994	20.913	21.831
118	museum	N4337909	N4708138	24.75	0.0857142857	35	0.33924363119999995	17.875	18.562	19.25	19.938	20.625	21.313	22.0	22.688	23.375	24.063
137	museum	N8235434	N1421546	26.25	0.0	3	0.41742979350000003	19.125	19.838	20.55	21.263	21.975	22.688	23.4	24.113	24.825	25.538
57	museum	N8999294	N3878259	17.5	0.312	125	0.3736080706	10.179	10.911	11.643	12.375	13.107	13.839	14.571	15.304	16.036	16.768
98	museum	N3878259	N2766129	23.300001	0.026315789500000002	38	0.19056410699999998	15.25	16.055	16.86	17.665	18.47	19.275	20.08	20.885	21.69	22.495
97	museum	N3878259	N5843320	21.7	0.052631578899999996	38	0.3248366122	12.2	13.15	14.1	15.05	16.0	16.95	17.9	18.85	19.8	20.75
96	museum	N3878259	N4337909	20.5	0.9210526316	38	0.4845992808	11.4	12.31	13.22	14.13	15.04	15.95	16.86	17.77	18.68	19.59
56	museum	N8999294	N3583653	16.928572	0.68	125	0.4520005101	9.0	9.793	10.586	11.379	12.171	12.964	13.757	14.55	15.343	16.136
62	museum	N1035050	N9449477	17.8	0.0303030303	33	0.5443276477000001	11.1	11.77	12.44	13.11	13.78	14.45	15.12	15.79	16.46	17.13
63	museum	N1035050	N9773808	18.333332000000002	0.9696969697	33	0.45567235229999997	9.8	10.653	11.507	12.36	13.213	14.067	14.92	15.773	16.627	17.48
28	museum	N599523	N1035050	15.736841	0.264	125	0.3879020008	8.711	9.413	10.116	10.818	11.521	12.224	12.926	13.629	14.332	15.034
136	museum	N8235434	N9086861	25.25	1.0	3	0.5825702065	15.312	16.306	17.3	18.294	19.288	20.281	21.275	22.269	23.263	24.256
58	museum	N8999294	N7239905	19.785715	0.008	125	0.1743914192	11.607	12.425	13.243	14.061	14.879	15.696	16.514	17.332	18.15	18.968
27	museum	N599523	N8999294	14.368422	0.736	125	0.6120979992	8.132	8.755	9.379	10.003	10.626	11.25	11.874	12.497	13.121	13.745
48	roomG	N3886181	N1443972	17.615382999999998	0.2857142857	126	0.25262896879999996	9.692	10.485	11.277	12.069	12.862	13.654	14.446	15.238	16.031	16.823
47	roomG	N3886181	N5279315	17.307692000000003	0.0079365079	126	0.2799148788	11.846	12.392	12.938	13.485	14.031	14.577	15.123	15.669	16.215	16.762
46	roomG	N3886181	N413710	15.769232	0.7063492063	126	0.46745615240000005	9.577	10.196	10.815	11.435	12.054	12.673	13.292	13.912	14.531	15.15
77	roomG	N1443972	N2654501	18.727272	0.0833333333	36	0.4999240613	12.091	12.755	13.418	14.082	14.745	15.409	16.073	16.736	17.4	18.064
78	roomG	N1443972	N7117627	20.545454	0.0	36	0.27270634120000004	15.136	15.677	16.218	16.759	17.3	17.841	18.382	18.923	19.464	20.005
79	roomG	N1443972	N8317607	21.09091	0.9166666667	36	0.2273695975	11.136	12.132	13.127	14.123	15.118	16.114	17.109	18.105	19.1	20.095
23	roomG	N3215843	N9994126	13.3529415	0.5396825397	126	0.5777944333	8.412	8.906	9.4	9.894	10.388	10.882	11.376	11.871	12.365	12.859
109	roomG	N8317607	N940315	23.900002	0.0303030303	33	0.33924363119999995	18.5	19.04	19.58	20.12	20.66	21.2	21.74	22.28	22.82	23.36
108	roomG	N8317607	N1983096	21.900002	0.9696969697	33	0.6607563688	14.75	15.465	16.18	16.895	17.61	18.325	19.04	19.755	20.47	21.185
92	roomG	N5279315	N2518305	20.285713	1.0	2	0.6817671868999999	15.571	16.043	16.514	16.986	17.457	17.929	18.4	18.871	19.343	19.814
93	roomG	N5279315	N6566182	22.571428	0.0	2	0.3182328131	14.071	14.921	15.771	16.621	17.471	18.321	19.171	20.021	20.871	21.721
24	roomG	N3215843	N3886181	14.294119	0.46031746030000004	126	0.42220556670000003	8.265	8.868	9.471	10.074	10.676	11.279	11.882	12.485	13.088	13.691
18	tworooms	N1627744	N2169075	15.466667000000001	0.35200000000000004	125	0.31961195579999996	8.667	9.347	10.027	10.707	11.387	12.067	12.747	13.427	14.107	14.787
17	tworooms	N1627744	N7416731	13.2	0.648	125	0.6803880442	8.567	9.03	9.493	9.957	10.42	10.883	11.347	11.81	12.273	12.737
100	tworooms	N6388298	N3112363	22.571428	0.53125	32	0.33924363119999995	12.357	13.379	14.4	15.421	16.443	17.464	18.486	19.507	20.529	21.55
66	tworooms	N2277	N6388298	18.3	0.7096774194	31	0.3964866818	11.1	11.82	12.54	13.26	13.98	14.7	15.42	16.14	16.86	17.58
60	tworooms	N2169075	N763696	17.166666	0.0454545455	44	0.3706025895	12.042	12.554	13.067	13.579	14.092	14.604	15.117	15.629	16.142	16.654
61	tworooms	N2169075	N5159403	18.499998	0.2727272727	44	0.2376232179	10.208	11.038	11.867	12.696	13.525	14.354	15.183	16.013	16.842	17.671
99	tworooms	N6388298	N2446217	20.571428	0.46875	32	0.6607563688	18.786	18.964	19.143	19.321	19.5	19.679	19.857	20.036	20.214	20.393
67	tworooms	N2277	N5127596	18.5	0.064516129	31	0.3709160603	14.0	14.45	14.9	15.35	15.8	16.25	16.7	17.15	17.6	18.05
114	tworooms	N1738800	N5180650	22.714287	0.3333333333	33	0.4762083971	12.5	13.521	14.543	15.564	16.586	17.607	18.629	19.65	20.671	21.693
113	tworooms	N1738800	N7295169	22.428572	0.6666666667	33	0.5237916029	20.571	20.757	20.943	21.129	21.314	21.5	21.686	21.871	22.057	22.243
85	tworooms	N5159403	N1738800	19.9	0.85	20	0.3483089983	12.05	12.835	13.62	14.405	15.19	15.975	16.76	17.545	18.33	19.115
86	tworooms	N5159403	N1559736	20.1	0.15	20	0.3258455009	15.4	15.87	16.34	16.81	17.28	17.75	18.22	18.69	19.16	19.63
87	tworooms	N5159403	N7004659	20.1	0.0	20	0.3258455009	11.5	12.36	13.22	14.08	14.94	15.8	16.66	17.52	18.38	19.24
59	tworooms	N2169075	N2277	17.0	0.6818181818000001	44	0.39177419259999996	9.375	10.138	10.9	11.663	12.425	13.188	13.95	14.713	15.475	16.238
68	tworooms	N2277	N7291500	19.900002	0.2258064516	31	0.2325972579	11.3	12.16	13.02	13.88	14.74	15.6	16.46	17.32	18.18	19.04
