	world	node	child	value	prob	N	hash	dv_0.7	dv_0.71	dv_0.72	dv_0.73	dv_0.74	dv_0.75	dv_0.76	dv_0.77	dv_0.78	dv_0.79	dv_0.8	dv_0.81	dv_0.82	dv_0.83	dv_0.84	dv_0.85	dv_0.86	dv_0.87	dv_0.88	dv_0.89	dv_0.9	dv_0.91	dv_0.92	dv_0.93	dv_0.94	dv_0.95	dv_0.96	dv_0.97	dv_0.98	dv_0.99
49	bunker3	N4351810	N9720811	16.9	0.8305084745999999	59	bunker3 N4351810	12.52	12.666	12.812	12.958	13.104	13.25	13.396	13.542	13.688	13.834	13.98	14.126	14.272	14.418	14.564	14.71	14.856	15.002	15.148	15.294	15.44	15.586	15.732	15.878	16.024	16.17	16.316	16.462	16.608	16.754
48	bunker3	N4351810	N6831977	15.3	0.16949152539999998	59	bunker3 N4351810	14.13	14.169	14.208	14.247	14.286	14.325	14.364	14.403	14.442	14.481	14.52	14.559	14.598	14.637	14.676	14.715	14.754	14.793	14.832	14.871	14.91	14.949	14.988	15.027	15.066	15.105	15.144	15.183	15.222	15.261
11	bunker3	N1657801	N4351810	13.642857999999999	0.4682539683	126	bunker3 N1657801	10.364	10.474	10.583	10.692	10.801	10.911	11.02	11.129	11.239	11.348	11.457	11.566	11.676	11.785	11.894	12.004	12.113	12.222	12.331	12.441	12.55	12.659	12.769	12.878	12.987	13.096	13.206	13.315	13.424	13.534
10	bunker3	N1657801	N7360841	11.928571	0.5317460317	126	bunker3 N1657801	10.107	10.168	10.229	10.289	10.35	10.411	10.471	10.532	10.593	10.654	10.714	10.775	10.836	10.896	10.957	11.018	11.079	11.139	11.2	11.261	11.321	11.382	11.443	11.504	11.564	11.625	11.686	11.746	11.807	11.868
58	cathedral	N7058269	N6051250	16.333332000000002	0.3978494624	93	cathedral N7058269	14.183	14.255	14.327	14.398	14.47	14.542	14.613	14.685	14.757	14.828	14.9	14.972	15.043	15.115	15.187	15.258	15.33	15.402	15.473	15.545	15.617	15.688	15.76	15.832	15.903	15.975	16.047	16.118	16.19	16.262
59	cathedral	N7058269	N6429694	18.666667999999998	0.6021505375999999	93	cathedral N7058269	13.617	13.785	13.953	14.122	14.29	14.458	14.627	14.795	14.963	15.132	15.3	15.468	15.637	15.805	15.973	16.142	16.31	16.478	16.647	16.815	16.983	17.152	17.32	17.488	17.657	17.825	17.993	18.162	18.33	18.498
24	cathedral	N608136	N9813836	14.300001000000002	0.2118644068	118	cathedral N608136	11.18	11.284	11.388	11.492	11.596	11.7	11.804	11.908	12.012	12.116	12.22	12.324	12.428	12.532	12.636	12.74	12.844	12.948	13.052	13.156	13.26	13.364	13.468	13.572	13.676	13.78	13.884	13.988	14.092	14.196
23	cathedral	N608136	N7058269	13.299999	0.7881355931999999	118	cathedral N608136	10.36	10.458	10.556	10.654	10.752	10.85	10.948	11.046	11.144	11.242	11.34	11.438	11.536	11.634	11.732	11.83	11.928	12.026	12.124	12.222	12.32	12.418	12.516	12.614	12.712	12.81	12.908	13.006	13.104	13.202
0	courtyard	N3719219	N990982	6.8	0.7777777778	126	courtyard N3719219	5.42	5.466	5.512	5.558	5.604	5.65	5.696	5.742	5.788	5.834	5.88	5.926	5.972	6.018	6.064	6.11	6.156	6.202	6.248	6.294	6.34	6.386	6.432	6.478	6.524	6.57	6.616	6.662	6.708	6.754
2	courtyard	N990982	N6673600	7.666666499999999	1.0	98	courtyard N990982	5.967	6.023	6.08	6.137	6.193	6.25	6.307	6.363	6.42	6.477	6.533	6.59	6.647	6.703	6.76	6.817	6.873	6.93	6.987	7.043	7.1	7.157	7.213	7.27	7.327	7.383	7.44	7.497	7.553	7.61
1	courtyard	N3719219	N3977188	8.2	0.22222222219999999	126	courtyard N3719219	6.79	6.837	6.884	6.931	6.978	7.025	7.072	7.119	7.166	7.213	7.26	7.307	7.354	7.401	7.448	7.495	7.542	7.589	7.636	7.683	7.73	7.777	7.824	7.871	7.918	7.965	8.012	8.059	8.106	8.153
3	courtyard	N990982	N3622934	14.0	0.0	98	courtyard N990982	12.4	12.453	12.507	12.56	12.613	12.667	12.72	12.773	12.827	12.88	12.933	12.987	13.04	13.093	13.147	13.2	13.253	13.307	13.36	13.413	13.467	13.52	13.573	13.627	13.68	13.733	13.787	13.84	13.893	13.947
4	cubicles	N7210304	N2319363	9.0	0.8492063492	126	cubicles N7210304	6.457	6.541	6.626	6.711	6.796	6.88	6.965	7.05	7.135	7.22	7.304	7.389	7.474	7.559	7.643	7.728	7.813	7.898	7.983	8.067	8.152	8.237	8.322	8.407	8.491	8.576	8.661	8.746	8.83	8.915
84	cubicles	N8892822	N9981263	18.5	0.9285714286	42	cubicles N8892822	13.925	14.078	14.23	14.382	14.535	14.688	14.84	14.993	15.145	15.298	15.45	15.602	15.755	15.908	16.06	16.212	16.365	16.518	16.67	16.822	16.975	17.128	17.28	17.432	17.585	17.738	17.89	18.043	18.195	18.348
35	cubicles	N9487763	N3493111	19.1	0.0	15	cubicles N9487763	14.15	14.315	14.48	14.645	14.81	14.975	15.14	15.305	15.47	15.635	15.8	15.965	16.13	16.295	16.46	16.625	16.79	16.955	17.12	17.285	17.45	17.615	17.78	17.945	18.11	18.275	18.44	18.605	18.77	18.935
34	cubicles	N9487763	N8892822	17.1	0.4	15	cubicles N9487763	12.66	12.808	12.956	13.104	13.252	13.4	13.548	13.696	13.844	13.992	14.14	14.288	14.436	14.584	14.732	14.88	15.028	15.176	15.324	15.472	15.62	15.768	15.916	16.064	16.212	16.36	16.508	16.656	16.804	16.952
33	cubicles	N9487763	N9527877	14.700001	0.6	15	cubicles N9487763	11.61	11.713	11.816	11.919	12.022	12.125	12.228	12.331	12.434	12.537	12.64	12.743	12.846	12.949	13.052	13.155	13.258	13.361	13.464	13.567	13.67	13.773	13.876	13.979	14.082	14.185	14.288	14.391	14.494	14.597
113	cubicles	N9981263	N2053914	20.333332000000002	0.9767441859999999	43	cubicles N9981263	18.033	18.11	18.187	18.263	18.34	18.417	18.493	18.57	18.647	18.723	18.8	18.877	18.953	19.03	19.107	19.183	19.26	19.337	19.413	19.49	19.567	19.643	19.72	19.797	19.873	19.95	20.027	20.103	20.18	20.257
85	cubicles	N8892822	N2137138	19.0	0.0714285714	42	cubicles N8892822	15.55	15.665	15.78	15.895	16.01	16.125	16.24	16.355	16.47	16.585	16.7	16.815	16.93	17.045	17.16	17.275	17.39	17.505	17.62	17.735	17.85	17.965	18.08	18.195	18.31	18.425	18.54	18.655	18.77	18.885
5	cubicles	N7210304	N8435133	10.652175	0.1507936508	126	cubicles N7210304	7.848	7.941	8.035	8.128	8.222	8.315	8.409	8.502	8.596	8.689	8.783	8.876	8.97	9.063	9.157	9.25	9.343	9.437	9.53	9.624	9.717	9.811	9.904	9.998	10.091	10.185	10.278	10.372	10.465	10.559
22	cubicles	N9556533	N4932175	14.642857000000001	0.21052631579999997	19	cubicles N9556533	10.636	10.769	10.903	11.036	11.17	11.304	11.437	11.571	11.704	11.838	11.971	12.105	12.239	12.372	12.506	12.639	12.773	12.906	13.04	13.174	13.307	13.441	13.574	13.708	13.841	13.975	14.109	14.242	14.376	14.509
86	cubicles	N8892822	N5568770	22.5	0.0	42	cubicles N8892822	17.025	17.208	17.39	17.572	17.755	17.938	18.12	18.303	18.485	18.668	18.85	19.032	19.215	19.398	19.58	19.763	19.945	20.128	20.31	20.492	20.675	20.858	21.04	21.222	21.405	21.588	21.77	21.953	22.135	22.318
114	cubicles	N9981263	N2381213	24.999998	0.023255814	43	cubicles N9981263	19.6	19.78	19.96	20.14	20.32	20.5	20.68	20.86	21.04	21.22	21.4	21.58	21.76	21.94	22.12	22.3	22.48	22.66	22.84	23.02	23.2	23.38	23.56	23.74	23.92	24.1	24.28	24.46	24.64	24.82
115	cubicles	N4606479	N7119625	20.333332000000002	0.0	3	cubicles N4606479	18.033	18.11	18.187	18.263	18.34	18.417	18.493	18.57	18.647	18.723	18.8	18.877	18.953	19.03	19.107	19.183	19.26	19.337	19.413	19.49	19.567	19.643	19.72	19.797	19.873	19.95	20.027	20.103	20.18	20.257
116	cubicles	N4606479	N6517911	21.0	1.0	3	cubicles N4606479	16.4	16.553	16.707	16.86	17.013	17.167	17.32	17.473	17.627	17.78	17.933	18.087	18.24	18.393	18.547	18.7	18.853	19.007	19.16	19.313	19.467	19.62	19.773	19.927	20.08	20.233	20.387	20.54	20.693	20.847
61	cubicles	N7167978	N4606479	19.125	0.75	4	cubicles N7167978	14.55	14.702	14.855	15.008	15.16	15.313	15.465	15.618	15.77	15.923	16.075	16.228	16.38	16.532	16.685	16.838	16.99	17.142	17.295	17.448	17.6	17.752	17.905	18.058	18.21	18.362	18.515	18.668	18.82	18.972
7	cubicles	N2319363	N3487541	13.549999	0.0	107	cubicles N2319363	10.235	10.346	10.456	10.567	10.677	10.788	10.898	11.009	11.119	11.23	11.34	11.45	11.561	11.672	11.782	11.893	12.003	12.114	12.224	12.335	12.445	12.556	12.666	12.777	12.887	12.998	13.108	13.219	13.329	13.44
60	cubicles	N7167978	N6349558	16.625	0.25	4	cubicles N7167978	13.888	13.979	14.07	14.161	14.252	14.344	14.435	14.526	14.618	14.709	14.8	14.891	14.982	15.074	15.165	15.256	15.348	15.439	15.53	15.621	15.712	15.804	15.895	15.986	16.078	16.169	16.26	16.351	16.442	16.534
15	cubicles	N117979	N3494734	15.124998999999999	0.3396226415	106	cubicles N117979	11.45	11.573	11.695	11.818	11.94	12.063	12.185	12.308	12.43	12.553	12.675	12.798	12.92	13.042	13.165	13.288	13.41	13.532	13.655	13.778	13.9	14.022	14.145	14.268	14.39	14.513	14.635	14.758	14.88	15.003
14	cubicles	N117979	N2528154	12.625	0.6603773585	106	cubicles N117979	10.488	10.559	10.63	10.701	10.772	10.844	10.915	10.986	11.058	11.129	11.2	11.271	11.342	11.414	11.485	11.556	11.628	11.699	11.77	11.841	11.913	11.984	12.055	12.126	12.198	12.269	12.34	12.411	12.482	12.554
21	cubicles	N9556533	N9487763	13.214286999999999	0.7894736842	19	cubicles N9556533	10.064	10.169	10.274	10.379	10.484	10.589	10.694	10.799	10.904	11.009	11.114	11.219	11.324	11.429	11.534	11.639	11.744	11.849	11.954	12.059	12.164	12.269	12.374	12.479	12.584	12.689	12.794	12.899	13.004	13.109
13	cubicles	N8435133	N4303499	15.499998999999999	0.0	19	cubicles N8435133	11.35	11.488	11.627	11.765	11.903	12.042	12.18	12.318	12.457	12.595	12.733	12.872	13.01	13.148	13.287	13.425	13.563	13.702	13.84	13.978	14.117	14.255	14.393	14.532	14.67	14.808	14.947	15.085	15.223	15.362
12	cubicles	N8435133	N9556533	11.944446000000001	1.0	19	cubicles N8435133	8.861	8.964	9.067	9.169	9.272	9.375	9.478	9.581	9.683	9.786	9.889	9.992	10.094	10.197	10.3	10.403	10.506	10.608	10.711	10.814	10.917	11.019	11.122	11.225	11.328	11.431	11.533	11.636	11.739	11.842
6	cubicles	N2319363	N2367950	9.75	1.0	107	cubicles N2319363	7.215	7.299	7.384	7.468	7.553	7.638	7.722	7.807	7.891	7.976	8.06	8.145	8.229	8.314	8.398	8.482	8.567	8.652	8.736	8.82	8.905	8.99	9.074	9.158	9.243	9.328	9.412	9.497	9.581	9.666
170	garden	N8153414	N6330284	23.2	1.0	27	garden N8153414	18.46	18.618	18.776	18.934	19.092	19.25	19.408	19.566	19.724	19.882	20.04	20.198	20.356	20.514	20.672	20.83	20.988	21.146	21.304	21.462	21.62	21.778	21.936	22.094	22.252	22.41	22.568	22.726	22.884	23.042
171	garden	N8153414	N6675860	26.000002	0.0	27	garden N8153414	20.78	20.954	21.128	21.302	21.476	21.65	21.824	21.998	22.172	22.346	22.52	22.694	22.868	23.042	23.216	23.39	23.564	23.738	23.912	24.086	24.26	24.434	24.608	24.782	24.956	25.13	25.304	25.478	25.652	25.826
72	garden	N7850553	N6320060	18.0	0.6551724138	58	garden N7850553	13.29	13.447	13.604	13.761	13.918	14.075	14.232	14.389	14.546	14.703	14.86	15.017	15.174	15.331	15.488	15.645	15.802	15.959	16.116	16.273	16.43	16.587	16.744	16.901	17.058	17.215	17.372	17.529	17.686	17.843
129	garden	N4613075	N5298440	21.285717	0.5	20	garden N4613075	16.143	16.314	16.486	16.657	16.829	17.0	17.171	17.343	17.514	17.686	17.857	18.029	18.2	18.371	18.543	18.714	18.886	19.057	19.229	19.4	19.571	19.743	19.914	20.086	20.257	20.429	20.6	20.771	20.943	21.114
62	garden	N7603509	N2138712	16.916666	0.84375	32	garden N7603509	12.992	13.123	13.253	13.384	13.515	13.646	13.777	13.908	14.038	14.169	14.3	14.431	14.562	14.692	14.823	14.954	15.085	15.216	15.347	15.478	15.608	15.739	15.87	16.001	16.132	16.263	16.393	16.524	16.655	16.786
73	garden	N7850553	N4613075	18.400002	0.3448275862	58	garden N7850553	14.05	14.195	14.34	14.485	14.63	14.775	14.92	15.065	15.21	15.355	15.5	15.645	15.79	15.935	16.08	16.225	16.37	16.515	16.66	16.805	16.95	17.095	17.24	17.385	17.53	17.675	17.82	17.965	18.11	18.255
134	garden	N9476286	N5061495	21.2	0.6315789474	38	garden N9476286	17.06	17.198	17.336	17.474	17.612	17.75	17.888	18.026	18.164	18.302	18.44	18.578	18.716	18.854	18.992	19.13	19.268	19.406	19.544	19.682	19.82	19.958	20.096	20.234	20.372	20.51	20.648	20.786	20.924	21.062
104	garden	N4747663	N4619086	20.090908	0.5833333333	36	garden N4747663	14.636	14.818	15.0	15.182	15.364	15.545	15.727	15.909	16.091	16.273	16.455	16.636	16.818	17.0	17.182	17.364	17.545	17.727	17.909	18.091	18.273	18.455	18.636	18.818	19.0	19.182	19.364	19.545	19.727	19.909
153	garden	N3123108	N9923259	22.444447	0.8	5	garden N3123108	16.678	16.87	17.062	17.254	17.447	17.639	17.831	18.023	18.216	18.408	18.6	18.792	18.984	19.177	19.369	19.561	19.753	19.946	20.138	20.33	20.522	20.714	20.907	21.099	21.291	21.483	21.676	21.868	22.06	22.252
152	garden	N3123108	N5359231	22.444447	0.2	5	garden N3123108	16.678	16.87	17.062	17.254	17.447	17.639	17.831	18.023	18.216	18.408	18.6	18.792	18.984	19.177	19.369	19.561	19.753	19.946	20.138	20.33	20.522	20.714	20.907	21.099	21.291	21.483	21.676	21.868	22.06	22.252
149	garden	N8246099	N4984823	23.111113	0.0666666667	15	garden N8246099	17.344	17.537	17.729	17.921	18.113	18.306	18.498	18.69	18.882	19.074	19.267	19.459	19.651	19.843	20.036	20.228	20.42	20.612	20.804	20.997	21.189	21.381	21.573	21.766	21.958	22.15	22.342	22.534	22.727	22.919
148	garden	N8246099	N7102836	22.222225	0.0	15	garden N8246099	17.889	18.033	18.178	18.322	18.467	18.611	18.756	18.9	19.044	19.189	19.333	19.478	19.622	19.767	19.911	20.056	20.2	20.344	20.489	20.633	20.778	20.922	21.067	21.211	21.356	21.5	21.644	21.789	21.933	22.078
130	garden	N4613075	N4016530	24.428572	0.0	20	garden N4613075	18.6	18.794	18.989	19.183	19.377	19.571	19.766	19.96	20.154	20.349	20.543	20.737	20.931	21.126	21.32	21.514	21.709	21.903	22.097	22.291	22.486	22.68	22.874	23.069	23.263	23.457	23.651	23.846	24.04	24.234
105	garden	N4747663	N8246099	20.090908	0.4166666667	36	garden N4747663	14.636	14.818	15.0	15.182	15.364	15.545	15.727	15.909	16.091	16.273	16.455	16.636	16.818	17.0	17.182	17.364	17.545	17.727	17.909	18.091	18.273	18.455	18.636	18.818	19.0	19.182	19.364	19.545	19.727	19.909
106	garden	N4747663	N1289190	20.454544	0.0	36	garden N4747663	15.791	15.946	16.102	16.257	16.413	16.568	16.724	16.879	17.035	17.19	17.345	17.501	17.656	17.812	17.967	18.123	18.278	18.434	18.589	18.745	18.9	19.055	19.211	19.366	19.522	19.677	19.833	19.988	20.144	20.299
107	garden	N4747663	N5433401	21.181818	0.0	36	garden N4747663	15.564	15.751	15.938	16.125	16.313	16.5	16.687	16.875	17.062	17.249	17.436	17.624	17.811	17.998	18.185	18.373	18.56	18.747	18.935	19.122	19.309	19.496	19.684	19.871	20.058	20.245	20.433	20.62	20.807	20.995
137	garden	N4210096	N7830461	22.0	0.3703703704	27	garden N4210096	17.62	17.766	17.912	18.058	18.204	18.35	18.496	18.642	18.788	18.934	19.08	19.226	19.372	19.518	19.664	19.81	19.956	20.102	20.248	20.394	20.54	20.686	20.832	20.978	21.124	21.27	21.416	21.562	21.708	21.854
136	garden	N4210096	N7991449	21.2	0.6296296296	27	garden N4210096	17.06	17.198	17.336	17.474	17.612	17.75	17.888	18.026	18.164	18.302	18.44	18.578	18.716	18.854	18.992	19.13	19.268	19.406	19.544	19.682	19.82	19.958	20.096	20.234	20.372	20.51	20.648	20.786	20.924	21.062
135	garden	N9476286	N9813497	22.0	0.36842105259999997	38	garden N9476286	17.62	17.766	17.912	18.058	18.204	18.35	18.496	18.642	18.788	18.934	19.08	19.226	19.372	19.518	19.664	19.81	19.956	20.102	20.248	20.394	20.54	20.686	20.832	20.978	21.124	21.27	21.416	21.562	21.708	21.854
154	garden	N3123108	N3458250	22.88889	0.0	5	garden N3123108	18.356	18.507	18.658	18.809	18.96	19.111	19.262	19.413	19.564	19.716	19.867	20.018	20.169	20.32	20.471	20.622	20.773	20.924	21.076	21.227	21.378	21.529	21.68	21.831	21.982	22.133	22.284	22.436	22.587	22.738
147	garden	N8246099	N7340845	22.222220999999998	0.9333333333	15	garden N8246099	16.522	16.712	16.902	17.092	17.282	17.472	17.662	17.852	18.042	18.232	18.422	18.612	18.802	18.992	19.182	19.372	19.562	19.752	19.942	20.132	20.322	20.512	20.702	20.892	21.082	21.272	21.462	21.652	21.842	22.032
63	garden	N7603509	N3123108	20.083336	0.15625	32	garden N7603509	15.033	15.202	15.37	15.538	15.707	15.875	16.043	16.212	16.38	16.548	16.717	16.885	17.053	17.222	17.39	17.558	17.727	17.895	18.063	18.232	18.4	18.568	18.737	18.905	19.073	19.242	19.41	19.578	19.747	19.915
128	garden	N4613075	N8153414	20.714287	0.5	20	garden N4613075	15.743	15.909	16.074	16.24	16.406	16.571	16.737	16.903	17.069	17.234	17.4	17.566	17.731	17.897	18.063	18.229	18.394	18.56	18.726	18.891	19.057	19.223	19.389	19.554	19.72	19.886	20.051	20.217	20.383	20.549
42	garden	N5115068	N4747663	17.714285	0.2857142857	126	garden N5115068	12.979	13.136	13.294	13.452	13.61	13.768	13.926	14.084	14.241	14.399	14.557	14.715	14.873	15.031	15.189	15.346	15.504	15.662	15.82	15.978	16.136	16.294	16.451	16.609	16.767	16.925	17.083	17.241	17.399	17.556
185	garden	N5359231	N8342286	24.714287	0.0	25	garden N5359231	20.986	21.11	21.234	21.359	21.483	21.607	21.731	21.856	21.98	22.104	22.229	22.353	22.477	22.601	22.726	22.85	22.974	23.099	23.223	23.347	23.471	23.596	23.72	23.844	23.969	24.093	24.217	24.341	24.466	24.59
186	garden	N4984823	N3931278	24.714287	1.0	1	garden N4984823	20.986	21.11	21.234	21.359	21.483	21.607	21.731	21.856	21.98	22.104	22.229	22.353	22.477	22.601	22.726	22.85	22.974	23.099	23.223	23.347	23.471	23.596	23.72	23.844	23.969	24.093	24.217	24.341	24.466	24.59
187	garden	N4984823	N5039419	30.714287	0.0	1	garden N4984823	23.6	23.837	24.074	24.311	24.549	24.786	25.023	25.26	25.497	25.734	25.971	26.209	26.446	26.683	26.92	27.157	27.394	27.631	27.869	28.106	28.343	28.58	28.817	29.054	29.291	29.529	29.766	30.003	30.24	30.477
41	garden	N5115068	N7603509	15.571428	0.253968254	126	garden N5115068	11.221	11.366	11.511	11.656	11.801	11.946	12.091	12.236	12.381	12.526	12.671	12.816	12.961	13.106	13.251	13.396	13.541	13.686	13.831	13.976	14.121	14.266	14.411	14.556	14.701	14.846	14.991	15.136	15.281	15.426
40	garden	N5115068	N7850553	15.000001000000001	0.46031746030000004	126	garden N5115068	11.143	11.271	11.4	11.529	11.657	11.786	11.914	12.043	12.171	12.3	12.429	12.557	12.686	12.814	12.943	13.071	13.2	13.329	13.457	13.586	13.714	13.843	13.971	14.1	14.229	14.357	14.486	14.614	14.743	14.871
184	garden	N5359231	N1983367	24.714287	1.0	25	garden N5359231	18.886	19.08	19.274	19.469	19.663	19.857	20.051	20.246	20.44	20.634	20.829	21.023	21.217	21.411	21.606	21.8	21.994	22.189	22.383	22.577	22.771	22.966	23.16	23.354	23.549	23.743	23.937	24.131	24.326	24.52
156	ikea	N2396034	N239392	23.5	0.0	2	ikea N2396034	17.987	18.171	18.355	18.539	18.722	18.906	19.09	19.274	19.458	19.641	19.825	20.009	20.192	20.376	20.56	20.744	20.928	21.111	21.295	21.479	21.662	21.846	22.03	22.214	22.397	22.581	22.765	22.949	23.132	23.316
155	ikea	N2396034	N5268104	22.5	1.0	2	ikea N2396034	17.212	17.389	17.565	17.741	17.917	18.094	18.27	18.446	18.622	18.799	18.975	19.151	19.328	19.504	19.68	19.856	20.032	20.209	20.385	20.561	20.738	20.914	21.09	21.266	21.442	21.619	21.795	21.971	22.148	22.324
94	ikea	N4486578	N2531862	19.5	0.9848484848000001	66	ikea N4486578	18.4	18.437	18.473	18.51	18.547	18.583	18.62	18.657	18.693	18.73	18.767	18.803	18.84	18.877	18.913	18.95	18.987	19.023	19.06	19.097	19.133	19.17	19.207	19.243	19.28	19.317	19.353	19.39	19.427	19.463
95	ikea	N4486578	N132046	22.5	0.0151515152	66	ikea N4486578	17.8	17.957	18.113	18.27	18.427	18.583	18.74	18.897	19.053	19.21	19.367	19.523	19.68	19.837	19.993	20.15	20.307	20.463	20.62	20.777	20.933	21.09	21.247	21.403	21.56	21.717	21.873	22.03	22.187	22.343
96	ikea	N4631048	N9016413	19.500002	0.9473684211	38	ikea N4631048	15.525	15.657	15.79	15.922	16.055	16.188	16.32	16.452	16.585	16.718	16.85	16.982	17.115	17.248	17.38	17.512	17.645	17.778	17.91	18.042	18.175	18.307	18.44	18.572	18.705	18.838	18.97	19.102	19.235	19.368
98	ikea	N4631048	N5861572	23.166666	0.052631578899999996	38	ikea N4631048	17.042	17.246	17.45	17.654	17.858	18.062	18.267	18.471	18.675	18.879	19.083	19.287	19.492	19.696	19.9	20.104	20.308	20.512	20.717	20.921	21.125	21.329	21.533	21.738	21.942	22.146	22.35	22.554	22.758	22.963
83	ikea	N100354	N1400368	19.5	0.164556962	79	ikea N100354	14.887	15.041	15.195	15.349	15.502	15.656	15.81	15.964	16.118	16.271	16.425	16.579	16.732	16.886	17.04	17.194	17.348	17.501	17.655	17.809	17.962	18.116	18.27	18.424	18.578	18.731	18.885	19.039	19.192	19.346
