	world	node	child	value	prob	N	hash	dv_0.5	dv_0.55	dv_0.6	dv_0.65	dv_0.7	dv_0.75	dv_0.8	dv_0.85	dv_0.9	dv_0.95
49	bunker3	N4351810	N9720811	16.9	0.8305084745999999	59	bunker3 N4351810	9.6	10.33	11.06	11.79	12.52	13.25	13.98	14.71	15.44	16.17
48	bunker3	N4351810	N6831977	15.3	0.16949152539999998	59	bunker3 N4351810	13.35	13.545	13.74	13.935	14.13	14.325	14.52	14.715	14.91	15.105
11	bunker3	N1657801	N4351810	13.642857999999999	0.4682539683	126	bunker3 N1657801	8.179	8.725	9.271	9.818	10.364	10.911	11.457	12.004	12.55	13.096
10	bunker3	N1657801	N7360841	11.928571	0.5317460317	126	bunker3 N1657801	8.893	9.196	9.5	9.804	10.107	10.411	10.714	11.018	11.321	11.625
58	cathedral	N7058269	N6051250	16.333332000000002	0.3978494624	93	cathedral N7058269	12.75	13.108	13.467	13.825	14.183	14.542	14.9	15.258	15.617	15.975
59	cathedral	N7058269	N6429694	18.666667999999998	0.6021505375999999	93	cathedral N7058269	10.25	11.092	11.933	12.775	13.617	14.458	15.3	16.142	16.983	17.825
24	cathedral	N608136	N9813836	14.300001000000002	0.2118644068	118	cathedral N608136	9.1	9.62	10.14	10.66	11.18	11.7	12.22	12.74	13.26	13.78
23	cathedral	N608136	N7058269	13.299999	0.7881355931999999	118	cathedral N608136	8.4	8.89	9.38	9.87	10.36	10.85	11.34	11.83	12.32	12.81
0	courtyard	N3719219	N990982	6.8	0.7777777778	126	courtyard N3719219	4.5	4.73	4.96	5.19	5.42	5.65	5.88	6.11	6.34	6.57
2	courtyard	N990982	N6673600	7.666666499999999	1.0	98	courtyard N990982	4.833	5.117	5.4	5.683	5.967	6.25	6.533	6.817	7.1	7.383
1	courtyard	N3719219	N3977188	8.2	0.22222222219999999	126	courtyard N3719219	5.85	6.085	6.32	6.555	6.79	7.025	7.26	7.495	7.73	7.965
3	courtyard	N990982	N3622934	14.0	0.0	98	courtyard N990982	11.333	11.6	11.867	12.133	12.4	12.667	12.933	13.2	13.467	13.733
4	cubicles	N7210304	N2319363	9.0	0.8492063492	126	cubicles N7210304	4.761	5.185	5.609	6.033	6.457	6.88	7.304	7.728	8.152	8.576
84	cubicles	N8892822	N9981263	18.5	0.9285714286	42	cubicles N8892822	10.875	11.638	12.4	13.163	13.925	14.688	15.45	16.213	16.975	17.738
35	cubicles	N9487763	N3493111	19.1	0.0	15	cubicles N9487763	10.85	11.675	12.5	13.325	14.15	14.975	15.8	16.625	17.45	18.275
34	cubicles	N9487763	N8892822	17.1	0.4	15	cubicles N9487763	9.7	10.44	11.18	11.92	12.66	13.4	14.14	14.88	15.62	16.36
33	cubicles	N9487763	N9527877	14.700001	0.6	15	cubicles N9487763	9.55	10.065	10.58	11.095	11.61	12.125	12.64	13.155	13.67	14.185
113	cubicles	N9981263	N2053914	20.333332000000002	0.9767441859999999	43	cubicles N9981263	16.5	16.883	17.267	17.65	18.033	18.417	18.8	19.183	19.567	19.95
85	cubicles	N8892822	N2137138	19.0	0.0714285714	42	cubicles N8892822	13.25	13.825	14.4	14.975	15.55	16.125	16.7	17.275	17.85	18.425
5	cubicles	N7210304	N8435133	10.652175	0.1507936508	126	cubicles N7210304	5.978	6.446	6.913	7.38	7.848	8.315	8.783	9.25	9.717	10.185
22	cubicles	N9556533	N4932175	14.642857000000001	0.21052631579999997	19	cubicles N9556533	7.964	8.632	9.3	9.968	10.636	11.304	11.971	12.639	13.307	13.975
86	cubicles	N8892822	N5568770	22.5	0.0	42	cubicles N8892822	13.375	14.288	15.2	16.113	17.025	17.938	18.85	19.763	20.675	21.588
114	cubicles	N9981263	N2381213	24.999998	0.023255814	43	cubicles N9981263	16.0	16.9	17.8	18.7	19.6	20.5	21.4	22.3	23.2	24.1
115	cubicles	N4606479	N7119625	20.333332000000002	0.0	3	cubicles N4606479	16.5	16.883	17.267	17.65	18.033	18.417	18.8	19.183	19.567	19.95
116	cubicles	N4606479	N6517911	21.0	1.0	3	cubicles N4606479	13.333	14.1	14.867	15.633	16.4	17.167	17.933	18.7	19.467	20.233
61	cubicles	N7167978	N4606479	19.125	0.75	4	cubicles N7167978	11.5	12.263	13.025	13.788	14.55	15.313	16.075	16.838	17.6	18.363
7	cubicles	N2319363	N3487541	13.549999	0.0	107	cubicles N2319363	8.025	8.578	9.13	9.683	10.235	10.788	11.34	11.893	12.445	12.998
60	cubicles	N7167978	N6349558	16.625	0.25	4	cubicles N7167978	12.062	12.519	12.975	13.431	13.888	14.344	14.8	15.256	15.713	16.169
15	cubicles	N117979	N3494734	15.124998999999999	0.3396226415	106	cubicles N117979	9.0	9.612	10.225	10.838	11.45	12.063	12.675	13.288	13.9	14.513
14	cubicles	N117979	N2528154	12.625	0.6603773585	106	cubicles N117979	9.062	9.419	9.775	10.131	10.488	10.844	11.2	11.556	11.913	12.269
21	cubicles	N9556533	N9487763	13.214286999999999	0.7894736842	19	cubicles N9556533	7.964	8.489	9.014	9.539	10.064	10.589	11.114	11.639	12.164	12.689
13	cubicles	N8435133	N4303499	15.499998999999999	0.0	19	cubicles N8435133	8.583	9.275	9.967	10.658	11.35	12.042	12.733	13.425	14.117	14.808
12	cubicles	N8435133	N9556533	11.944446000000001	1.0	19	cubicles N8435133	6.806	7.319	7.833	8.347	8.861	9.375	9.889	10.403	10.917	11.431
6	cubicles	N2319363	N2367950	9.75	1.0	107	cubicles N2319363	5.525	5.948	6.37	6.793	7.215	7.638	8.06	8.483	8.905	9.328
170	garden	N8153414	N6330284	23.2	1.0	27	garden N8153414	15.3	16.09	16.88	17.67	18.46	19.25	20.04	20.83	21.62	22.41
171	garden	N8153414	N6675860	26.000002	0.0	27	garden N8153414	17.3	18.17	19.04	19.91	20.78	21.65	22.52	23.39	24.26	25.13
72	garden	N7850553	N6320060	18.0	0.6551724138	58	garden N7850553	10.15	10.935	11.72	12.505	13.29	14.075	14.86	15.645	16.43	17.215
129	garden	N4613075	N5298440	21.285717	0.5	20	garden N4613075	12.714	13.571	14.429	15.286	16.143	17.0	17.857	18.714	19.571	20.429
62	garden	N7603509	N2138712	16.916666	0.84375	32	garden N7603509	10.375	11.029	11.683	12.338	12.992	13.646	14.3	14.954	15.608	16.263
73	garden	N7850553	N4613075	18.400002	0.3448275862	58	garden N7850553	11.15	11.875	12.6	13.325	14.05	14.775	15.5	16.225	16.95	17.675
134	garden	N9476286	N5061495	21.2	0.6315789474	38	garden N9476286	14.3	14.99	15.68	16.37	17.06	17.75	18.44	19.13	19.82	20.51
104	garden	N4747663	N4619086	20.090908	0.5833333333	36	garden N4747663	11.0	11.909	12.818	13.727	14.636	15.545	16.455	17.364	18.273	19.182
153	garden	N3123108	N9923259	22.444447	0.8	5	garden N3123108	12.833	13.794	14.756	15.717	16.678	17.639	18.6	19.561	20.522	21.483
152	garden	N3123108	N5359231	22.444447	0.2	5	garden N3123108	12.833	13.794	14.756	15.717	16.678	17.639	18.6	19.561	20.522	21.483
149	garden	N8246099	N4984823	23.111113	0.0666666667	15	garden N8246099	13.5	14.461	15.422	16.383	17.344	18.306	19.267	20.228	21.189	22.15
148	garden	N8246099	N7102836	22.222225	0.0	15	garden N8246099	15.0	15.722	16.444	17.167	17.889	18.611	19.333	20.056	20.778	21.5
130	garden	N4613075	N4016530	24.428572	0.0	20	garden N4613075	14.714	15.686	16.657	17.629	18.6	19.571	20.543	21.514	22.486	23.457
105	garden	N4747663	N8246099	20.090908	0.4166666667	36	garden N4747663	11.0	11.909	12.818	13.727	14.636	15.545	16.455	17.364	18.273	19.182
106	garden	N4747663	N1289190	20.454544	0.0	36	garden N4747663	12.682	13.459	14.236	15.014	15.791	16.568	17.345	18.123	18.9	19.677
107	garden	N4747663	N5433401	21.181818	0.0	36	garden N4747663	11.818	12.755	13.691	14.627	15.564	16.5	17.436	18.373	19.309	20.245
137	garden	N4210096	N7830461	22.0	0.3703703704	27	garden N4210096	14.7	15.43	16.16	16.89	17.62	18.35	19.08	19.81	20.54	21.27
136	garden	N4210096	N7991449	21.2	0.6296296296	27	garden N4210096	14.3	14.99	15.68	16.37	17.06	17.75	18.44	19.13	19.82	20.51
135	garden	N9476286	N9813497	22.0	0.36842105259999997	38	garden N9476286	14.7	15.43	16.16	16.89	17.62	18.35	19.08	19.81	20.54	21.27
154	garden	N3123108	N3458250	22.88889	0.0	5	garden N3123108	15.333	16.089	16.844	17.6	18.356	19.111	19.867	20.622	21.378	22.133
147	garden	N8246099	N7340845	22.222220999999998	0.9333333333	15	garden N8246099	12.722	13.672	14.622	15.572	16.522	17.472	18.422	19.372	20.322	21.272
63	garden	N7603509	N3123108	20.083336	0.15625	32	garden N7603509	11.667	12.508	13.35	14.192	15.033	15.875	16.717	17.558	18.4	19.242
128	garden	N4613075	N8153414	20.714287	0.5	20	garden N4613075	12.429	13.257	14.086	14.914	15.743	16.571	17.4	18.229	19.057	19.886
42	garden	N5115068	N4747663	17.714285	0.2857142857	126	garden N5115068	9.821	10.611	11.4	12.189	12.979	13.768	14.557	15.346	16.136	16.925
185	garden	N5359231	N8342286	24.714287	0.0	25	garden N5359231	18.5	19.121	19.743	20.364	20.986	21.607	22.229	22.85	23.471	24.093
186	garden	N4984823	N3931278	24.714287	1.0	1	garden N4984823	18.5	19.121	19.743	20.364	20.986	21.607	22.229	22.85	23.471	24.093
187	garden	N4984823	N5039419	30.714287	0.0	1	garden N4984823	18.857	20.043	21.229	22.414	23.6	24.786	25.971	27.157	28.343	29.529
41	garden	N5115068	N7603509	15.571428	0.253968254	126	garden N5115068	8.321	9.046	9.771	10.496	11.221	11.946	12.671	13.396	14.121	14.846
40	garden	N5115068	N7850553	15.000001000000001	0.46031746030000004	126	garden N5115068	8.571	9.214	9.857	10.5	11.143	11.786	12.429	13.071	13.714	14.357
184	garden	N5359231	N1983367	24.714287	1.0	25	garden N5359231	15.0	15.971	16.943	17.914	18.886	19.857	20.829	21.8	22.771	23.743
156	ikea	N2396034	N239392	23.5	0.0	2	ikea N2396034	14.312	15.231	16.15	17.069	17.988	18.906	19.825	20.744	21.663	22.581
155	ikea	N2396034	N5268104	22.5	1.0	2	ikea N2396034	13.688	14.569	15.45	16.331	17.213	18.094	18.975	19.856	20.738	21.619
94	ikea	N4486578	N2531862	19.5	0.9848484848000001	66	ikea N4486578	17.667	17.85	18.033	18.217	18.4	18.583	18.767	18.95	19.133	19.317
95	ikea	N4486578	N132046	22.5	0.0151515152	66	ikea N4486578	14.667	15.45	16.233	17.017	17.8	18.583	19.367	20.15	20.933	21.717
96	ikea	N4631048	N9016413	19.500002	0.9473684211	38	ikea N4631048	12.875	13.538	14.2	14.862	15.525	16.188	16.85	17.513	18.175	18.838
98	ikea	N4631048	N5861572	23.166666	0.052631578899999996	38	ikea N4631048	12.958	13.979	15.0	16.021	17.042	18.063	19.083	20.104	21.125	22.146
83	ikea	N100354	N1400368	19.5	0.164556962	79	ikea N100354	11.812	12.581	13.35	14.119	14.888	15.656	16.425	17.194	17.963	18.731
32	ikea	N9812190	N1448237	16.105263	0.373015873	126	ikea N9812190	9.342	10.018	10.695	11.371	12.047	12.724	13.4	14.076	14.753	15.429
31	ikea	N9812190	N6109064	14.526314999999999	0.6269841270000001	126	ikea N9812190	8.816	9.387	9.958	10.529	11.1	11.671	12.242	12.813	13.384	13.955
120	ikea	N1400368	N9676480	20.5	0.9230769231	13	ikea N1400368	18.583	18.775	18.967	19.158	19.35	19.542	19.733	19.925	20.117	20.308
121	ikea	N1400368	N2021230	23.5	0.0769230769	13	ikea N1400368	15.333	16.15	16.967	17.783	18.6	19.417	20.233	21.05	21.867	22.683
133	ikea	N234416	N9299941	23.666666	0.0	7	ikea N234416	13.292	14.329	15.367	16.404	17.442	18.479	19.517	20.554	21.592	22.629
132	ikea	N234416	N6099980	23.666666	0.0	7	ikea N234416	16.792	17.479	18.167	18.854	19.542	20.229	20.917	21.604	22.292	22.979
131	ikea	N234416	N3896859	21.0	1.0	7	ikea N234416	13.833	14.55	15.267	15.983	16.7	17.417	18.133	18.85	19.567	20.283
97	ikea	N4631048	N6560058	22.166667999999998	0.0	38	ikea N4631048	15.542	16.204	16.867	17.529	18.192	18.854	19.517	20.179	20.842	21.504
82	ikea	N100354	N4486578	18.5	0.835443038	79	ikea N100354	11.188	11.919	12.65	13.381	14.113	14.844	15.575	16.306	17.038	17.769
181	ikea	N5861572	N8432610	27.3	0.3333333333	3	ikea N5861572	20.8	21.45	22.1	22.75	23.4	24.05	24.7	25.35	26.0	26.65
191	ikea	N9299941	N4612840	24.900002	1.0	1	ikea N9299941	16.55	17.385	18.22	19.055	19.89	20.725	21.56	22.395	23.23	24.065
79	ikea	N1448237	N234416	19.785715	0.1489361702	47	ikea N1448237	10.786	11.686	12.586	13.486	14.386	15.286	16.186	17.086	17.986	18.886
78	ikea	N1448237	N2396034	18.785713	0.042553191500000004	47	ikea N1448237	12.357	13.0	13.643	14.286	14.929	15.571	16.214	16.857	17.5	18.143
77	ikea	N1448237	N4631048	18.357143	0.8085106383	47	ikea N1448237	10.0	10.836	11.671	12.507	13.343	14.179	15.014	15.85	16.686	17.521
180	ikea	N5861572	N4207326	24.5	0.6666666667	3	ikea N5861572	16.15	16.985	17.82	18.655	19.49	20.325	21.16	21.995	22.83	23.665
192	ikea	N9299941	N1515191	27.3	0.0	1	ikea N9299941	20.8	21.45	22.1	22.75	23.4	24.05	24.7	25.35	26.0	26.65
172	ikea	N5268104	N386561	23.5	1.0	2	ikea N5268104	21.333	21.55	21.767	21.983	22.2	22.417	22.633	22.85	23.067	23.283
173	ikea	N5268104	N7542936	26.5	0.0	2	ikea N5268104	17.333	18.25	19.167	20.083	21.0	21.917	22.833	23.75	24.667	25.583
143	lab	N7839123	N6747577	22.142857	0.7	20	lab N7839123	12.071	13.079	14.086	15.093	16.1	17.107	18.114	19.121	20.129	21.136
142	lab	N7839123	N3878758	21.857143	0.3	20	lab N7839123	13.0	13.886	14.771	15.657	16.543	17.429	18.314	19.2	20.086	20.971
207	lab	N9798875	N8488385	31.2	0.0	5	lab N9798875	20.9	21.93	22.96	23.99	25.02	26.05	27.08	28.11	29.14	30.17
208	lab	N239923	N1797478	28.833332000000002	0.2941176471	17	lab N239923	23.583	24.108	24.633	25.158	25.683	26.208	26.733	27.258	27.783	28.308
209	lab	N239923	N9684539	30.166664	0.7058823529000001	17	lab N239923	19.667	20.717	21.767	22.817	23.867	24.917	25.967	27.017	28.067	29.117
210	lab	N3936820	N4841925	28.833332000000002	0.2666666667	30	lab N3936820	23.583	24.108	24.633	25.158	25.683	26.208	26.733	27.258	27.783	28.308
211	lab	N3936820	N7852858	30.166664	0.7333333333	30	lab N3936820	19.667	20.717	21.767	22.817	23.867	24.917	25.967	27.017	28.067	29.117
212	lab	N1930098	N1501992	29.0	0.8888888889	9	lab N1930098	20.875	21.688	22.5	23.312	24.125	24.938	25.75	26.563	27.375	28.188
164	lab	N63617	N242960	23.7	0.0	17	lab N63617	15.35	16.185	17.02	17.855	18.69	19.525	20.36	21.195	22.03	22.865
144	lab	N7839123	N4211456	25.0	0.0	20	lab N7839123	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0
214	lab	N5408887	N441665	31.2	0.0	1	lab N5408887	20.9	21.93	22.96	23.99	25.02	26.05	27.08	28.11	29.14	30.17
179	lab	N5745806	N7444307	25.11111	0.0322580645	31	lab N5745806	14.722	15.761	16.8	17.839	18.878	19.917	20.956	21.994	23.033	24.072
190	lab	N3878758	N3706462	27.2	0.0	6	lab N3878758	17.9	18.83	19.76	20.69	21.62	22.55	23.48	24.41	25.34	26.27
189	lab	N3878758	N8861539	25.6	0.0	6	lab N3878758	14.6	15.7	16.8	17.9	19.0	20.1	21.2	22.3	23.4	24.5
188	lab	N3878758	N6463419	24.8	1.0	6	lab N3878758	14.0	15.08	16.16	17.24	18.32	19.4	20.48	21.56	22.64	23.72
215	lab	N5408887	N5399461	34.0	1.0	1	lab N5408887	22.9	24.01	25.12	26.23	27.34	28.45	29.56	30.67	31.78	32.89
213	lab	N1930098	N2539902	33.0	0.11111111109999999	9	lab N1930098	20.0	21.3	22.6	23.9	25.2	26.5	27.8	29.1	30.4	31.7
206	lab	N9798875	N5984201	28.0	1.0	5	lab N9798875	18.7	19.63	20.56	21.49	22.42	23.35	24.28	25.21	26.14	27.07
178	lab	N5745806	N9798875	24.222223	0.0	31	lab N5745806	16.444	17.222	18.0	18.778	19.556	20.333	21.111	21.889	22.667	23.444
202	lab	N7646124	N1142105	28.285713	0.0	17	lab N7646124	21.429	22.114	22.8	23.486	24.171	24.857	25.543	26.229	26.914	27.6
