world	path	probL	probR	probU	probD	subject_node_path	MCTS_value_L	MCTS_value_R	MCTS_value_U	MCTS_value_D
courtyard	p(0,0);	0.0	0.7698412698	0.0	0.2301587302	N6609	None	0.4850170407514514	None	0.5149829592485486
courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	0.0	0.0103092784	0.0	0.9896907216	N6609,N2554	0.609195379838815	None	None	0.3908046201611851
courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	0.0	1.0	0.0	0.0	N6609,N2200	None	1.0	None	None
courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	0.0	0.0357142857	0.9642857143	0.0	N6609,N2200,N6173	None	None	1.0	None
library	p(0,0);	0.0	0.664	0.0	0.336	N3151	None	1.0	None	None
library	p(0,0);p(1,0);p(1,1);	0.0	0.0	0.0	1.0	N3151,N8688	None	None	None	1.0
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);	0.0	0.3571428571	0.0	0.6428571429	N3151,N8688,N1452	None	0.5403225880593131	None	0.45967741194068695
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);	0.0714285714	0.9285714286	0.0	0.0	N3151,N8688,N1452,N54	0.5158626173641754	0.48413738263582473	None	None
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	0.0	0.0	0.5384615385	0.4615384615	N3151,N8688,N1452,N54,N4714	0.3578197082750553	None	0.32493617351840376	0.3172441182065408
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);	0.0	0.0	0.0	1.0	N3151,N8688,N1452,N54,N4714,N3348	None	None	None	0.5201612819328826
library	p(0,0);p(1,0);	0.0	0.0	0.0	1.0	N3151,N8688	None	None	None	1.0
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);	0.0	0.1686746988	0.0	0.8313253012	N3151,N8688,N1452	None	0.5021459399878433	None	0.4978540600121566
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);	0.014492753600000003	0.0	0.9420289855	0.0434782609	N3151,N8688,N1452,N8106	None	None	1.0	None
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);	0.0	1.0	0.0	0.0	N3151,N8688,N1452,N8106,N3650	None	1.0	None	None
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	0.0153846154	0.0	0.2461538462	0.7384615385	N3151,N8688,N1452,N8106,N3650,N4693	None	None	0.5043478088468804	0.49565219115311965
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);	0.0	0.0	1.0	0.0	N3151,N8688,N1452,N8106	None	None	1.0	None
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);	0.0	1.0	0.0	0.0	N3151,N8688,N1452,N8106,N3650	None	1.0	None	None
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	0.0	0.0	0.1111111111	0.8888888889	N3151,N8688,N1452,N8106,N3650,N4693	None	None	0.5043478088468804	0.49565219115311965
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);	0.0	0.9285714286	0.0714285714	0.0	N3151,N8688,N1452,N54	0.5171060265808463	0.48289397341915374	None	None
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	0.0	0.0	0.5	0.5	N3151,N8688,N1452,N54,N4714	0.3590035345052606	None	0.32113866316816586	0.31985780232657346
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);	0.0	0.1666666667	0.0	0.8333333333	N3151,N8688,N1452,N54,N4714,N3348	None	None	None	0.5201612819328826
library	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);	0.0	0.0	0.0	1.0	N3151,N8688,N1452,N8106,N3650,N4693,N500	None	None	None	1.0
cathedral	p(0,0);	0.0	0.0	0.0	1.0	N1104	None	None	None	1.0
cathedral	p(0,0);p(0,1);p(0,2);	0.0	0.8968253968000001	0.0	0.1031746032	N1104,N2825	None	1.0	None	None
cathedral	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);	0.0	0.0357142857	0.8214285714	0.14285714289999998	N1104,N2825,N8121	None	None	0.5043859734533698	0.49561402654663017
cathedral	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);	0.0	0.5777777778000001	0.0	0.4222222222	N1104,N2825,N8121,N589	None	0.5156950846387414	None	0.4843049153612587
cathedral	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);	0.9019607843	0.0	0.0	0.0980392157	N1104,N2825,N8121,N589,N7314	1.0	None	None	None
museum	p(0,0);	0.0	1.0	0.0	0.0	N6665	None	1.0	None	None
museum	p(0,0);p(1,0);p(2,0);	0.0	0.0	0.0	1.0	N6665,N4368	None	None	None	1.0
museum	p(0,0);p(1,0);p(2,0);p(2,1);	0.0	0.7301587302	0.0	0.2698412698	N6665,N4368,N3808	None	0.45182293337334445	None	0.5481770666266556
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);	0.010989011000000002	0.0	0.6483516484	0.3406593407	N6665,N4368,N3808,N8301	0.3733450845072287	None	0.28508385045910656	0.34157106503366474
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);	0.8484848484999999	0.0	0.0	0.1515151515	N6665,N4368,N3808,N3961	0.4744366588993806	None	0.5255633411006194	None
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);	0.0	1.0	0.0	0.0	N6665,N4368,N3808,N3961,N6042	None	1.0	None	None
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);	0.0	0.0	0.75	0.25	N6665,N4368,N3808,N3961,N6042,N6726	None	None	0.49138655945105153	0.5086134405489484
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);	0.0	0.8571428570999999	0.0	0.14285714289999998	N6665,N4368,N3808,N3961,N6042,N6726,N7734	None	0.4943342650490739	0.5056657349509261	None
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);	1.0	0.0	0.0	0.0	N6665,N4368,N3808,N3961,N6042,N6726,N7734,N3278	1.0	None	None	None
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);	0.0	0.8666666667	0.1	0.033333333300000004	N6665,N4368,N3808,N8301,N1222	None	0.3139409235910918	0.3526899612212511	None
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);	1.0	0.0	0.0	0.0	N6665,N4368,N3808,N8301,N1222,N4585	0.5123839090904737	None	None	None
ikea	p(0,0);	0.0	0.0	0.0	1.0	N2990	None	None	None	1.0
ikea	p(0,0);p(0,1);p(0,2);p(0,3);	0.0	1.0	0.0	0.0	N2990,N6103	None	1.0	None	None
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);	0.0	0.008	0.616	0.376	N2990,N6103,N9806	None	None	0.46962023343935283	0.5303797665606472
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,2);p(3,1);	0.0128205128	0.0128205128	0.0256410256	0.9487179487	N2990,N6103,N9806,N1938	None	None	None	1.0
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,2);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	0.1486486486	0.8513513514	0.0	0.0	N2990,N6103,N9806,N1938,N2636	0.5181564310297747	0.48184356897022534	None	None
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,2);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);	0.0317460317	0.0	0.0	0.9682539683	N2990,N6103,N9806,N1938,N2636,N8197	0.5127118720434745	None	None	0.48728812795652554
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	0.1489361702	0.8297872340000001	0.0212765957	0.0	N2990,N6103,N9806,N943	0.346581135295251	0.33405950193345835	0.31935936277129073	None
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);	0.0789473684	0.0	0.0	0.9210526316	N2990,N6103,N9806,N943,N7351	0.3333987977644468	None	None	0.31659734414374
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,2);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(0,5);	0.0	0.0	0.0	1.0	N2990,N6103,N9806,N1938,N2636,N8461	None	0.51243094675071	None	0.4875690532492899
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(0,5);	0.0	0.0	0.0	1.0	N2990,N6103,N9806,N943,N8963	None	0.34133274932525626	None	0.3155536668128597
labyrinth3	p(0,0);	0.0	1.0	0.0	0.0	N4822	None	1.0	None	None
labyrinth3	p(0,0);p(1,0);p(2,0);p(3,0);	0.0	0.0	0.0	1.0	N4822,N1266	None	None	None	1.0
labyrinth3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);	0.253968254	0.380952381	0.0	0.3650793651	N4822,N1266,N7328	0.3548387096774194	0.3255131935483871	None	0.3196480967741936
labyrinth3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);	0.8541666667	0.1041666667	0.0416666667	0.0	N4822,N1266,N7328,N5327	0.5131579055286241	None	None	None
labyrinth3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(4,3);p(3,3);p(3,4);p(3,5);	0.0	0.0	1.0	0.0	N4822,N1266,N7328,N5327,N1070	None	None	1.0	None
labyrinth3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	0.0	0.0	1.0	0.0	N4822,N1266,N7328,N2268	None	None	0.5090090000811621	None
labyrinth3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(3,4);p(3,3);p(4,3);p(5,3);	1.0	0.0	0.0	0.0	N4822,N1266,N7328,N2268,N6947	1.0	None	None	None
garden	p(0,0);	0.0	0.0	0.0	1.0	N9899	None	None	None	1.0
garden	p(0,0);p(0,1);p(0,2);	0.0	0.992	0.008	0.0	N9899,N388	None	1.0	None	None
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);	0.0	0.2983870968	0.25	0.4516129032	N9899,N388,N3462	None	0.3600891988431652	0.322185052816958	0.3177257483398768
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);	0.0350877193	0.0	0.9649122807	0.0	N9899,N388,N3462,N3033	None	None	0.5250000184166668	None
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);	0.0	0.0277777778	0.0	0.9722222222	N9899,N388,N3462,N3033,N2044	None	None	None	1.0
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(5,2);	0.0	0.3714285714	0.0	0.6285714286	N9899,N388,N3462,N3033,N2044,N3191	None	0.5035335654958858	None	0.4964664345041142
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);	0.0	0.0	1.0	0.0	N9899,N388,N3462,N3033,N2044,N3191,N252	None	None	1.0	None
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);	0.0	0.5	0.0	0.5	N9899,N388,N3462,N3033,N532	0.3459205009180791	0.32975191297991074	None	0.3243275861020101
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);	0.0	0.0	1.0	0.0	N9899,N388,N3462,N3033,N532,N3415	None	None	0.5092835755496631	None
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);	0.0	0.5833333333	0.0	0.4166666667	N9899,N388,N3462,N692	0.260546805767717	0.2545731424252987	None	0.24076971298715324
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);	0.0	0.0	0.8666666667	0.1333333333	N9899,N388,N3462,N692,N5677	None	None	0.33805526196996083	None
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,1);p(2,0);	0.0	0.0344827586	0.0	0.9655172414	N9899,N388,N3462,N6441	None	None	None	0.5322014735672848
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);	0.0	0.0	0.96	0.04	N9899,N388,N3462,N6441,N3222	None	None	1.0	None
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);	0.0	0.4166666667	0.0	0.5833333333	N9899,N388,N3462,N6441,N3222,N984	None	0.5034364450762274	None	0.49656355492377247
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);	0.0	0.0	1.0	0.0	N9899,N388,N3462,N6441,N3222,N984,N6262	None	None	1.0	None
lab	p(0,0);	0.0	1.0	0.0	0.0	N2360	None	1.0	None	None
lab	p(0,0);p(1,0);p(2,0);	0.0	0.0	0.0	1.0	N2360,N7986	None	None	None	1.0
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);	0.28	0.464	0.008	0.248	N2360,N7986,N3386	0.3101903888524527	0.3012317944783932	None	0.38857781666915414
