world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromParent	isLeaf	nodeValue	nodeEP	blackremains
E2Maps/tworooms	(0,0)	N7963	NA	p(0,0);	0	0.0	0	0	FALSE	0.0	15	25
E2Maps/tworooms	(3,0)	N4804	N7963	p(0,0);p(1,0);p(2,0);p(3,0);	1	5.0	3	3	FALSE	1.2	15	20
E2Maps/tworooms	(3,3)	N7264	N4804	p(3,0);p(3,1);p(3,2);p(3,3);	2	5.0	3	6	FALSE	2.76	9	15
E2Maps/tworooms	(5,3)	N1396	N7264	p(3,3);p(4,3);p(5,3);	3	3.0	2	8	FALSE	3.88	4	12
E2Maps/tworooms	(1,3)	N6884	N7264	p(3,3);p(2,3);p(1,3);	3	6.0	2	8	FALSE	5.12	11	9
E2Maps/tworooms	(5,2)	N29	N1396	p(5,3);p(5,2);	4	2.0	1	9	FALSE	4.7200003	3	10
E2Maps/tworooms	(5,5)	N6211	N1396	p(5,3);p(5,4);p(5,5);	4	2.0	2	10	FALSE	4.8	3	10
E2Maps/tworooms	(1,3)	N6793	N1396	p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	4	6.0	4	12	FALSE	7.2	11	6
E2Maps/tworooms	(5,3)	N6785	N6884	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);	4	3.0	4	12	FALSE	6.72	4	6
E2Maps/tworooms	(7,2)	N4956	N29	p(5,2);p(6,2);p(7,2);	5	3.0	2	11	FALSE	6.28	6	7
E2Maps/tworooms	(5,5)	N1792	N29	p(5,2);p(5,3);p(5,4);p(5,5);	5	2.0	3	12	FALSE	5.8	3	8
E2Maps/tworooms	(1,3)	N9623	N29	p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	5	6.0	5	14	FALSE	8.52	11	4
E2Maps/tworooms	(7,5)	N6795	N6211	p(5,5);p(6,5);p(7,5);	5	3.0	2	12	FALSE	6.48	6	7
E2Maps/tworooms	(5,2)	N6069	N6211	p(5,5);p(5,4);p(5,3);p(5,2);	5	2.0	3	13	FALSE	5.96	3	8
E2Maps/tworooms	(1,3)	N8178	N6211	p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	5	6.0	6	16	FALSE	9.08	11	4
E2Maps/tworooms	(5,2)	N1219	N6793	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);	5	2.0	5	17	FALSE	8.68	3	4
E2Maps/tworooms	(5,5)	N9790	N6793	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	5	2.0	6	18	FALSE	8.76	3	4
E2Maps/tworooms	(5,2)	N144	N6785	p(5,3);p(5,2);	5	2.0	1	13	FALSE	7.8799996	3	4
E2Maps/tworooms	(5,5)	N5798	N6785	p(5,3);p(5,4);p(5,5);	5	2.0	2	14	FALSE	7.96	3	4
E2Maps/tworooms	(7,5)	N3770	N4956	p(7,2);p(7,3);p(7,4);p(7,5);	6	1.0	3	14	FALSE	6.88	1	6
E2Maps/tworooms	(1,3)	N5276	N4956	p(7,2);p(6,2);p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6.0	7	18	FALSE	11.040001	11	1
E2Maps/tworooms	(7,5)	N5642	N1792	p(5,5);p(6,5);p(7,5);	6	2.0	2	14	FALSE	7.04	3	6
E2Maps/tworooms	(1,3)	N9460	N1792	p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6.0	6	18	FALSE	10.56	11	2
E2Maps/tworooms	(5,5)	N9615	N9623	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	6	2.0	6	20	FALSE	10.240001	3	2
E2Maps/tworooms	(7,2)	N2908	N9623	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);	6	3.0	7	21	FALSE	11.280001	6	1
E2Maps/tworooms	(7,2)	N4029	N6795	p(7,5);p(7,4);p(7,3);p(7,2);	6	1.0	3	15	FALSE	7.12	1	6
E2Maps/tworooms	(1,3)	N2449	N6795	p(7,5);p(6,5);p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6.0	8	20	FALSE	11.719999	11	1
E2Maps/tworooms	(7,2)	N6777	N6069	p(5,2);p(6,2);p(7,2);	6	2.0	2	15	FALSE	7.28	3	6
E2Maps/tworooms	(1,3)	N8186	N6069	p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6.0	5	18	FALSE	10.72	11	2
E2Maps/tworooms	(5,2)	N4750	N8178	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);	6	2.0	5	21	FALSE	10.88	3	2
E2Maps/tworooms	(7,5)	N6549	N8178	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);	6	3.0	8	24	FALSE	12.2	6	1
E2Maps/tworooms	(7,2)	N9815	N1219	p(5,2);p(6,2);p(7,2);	6	3.0	2	19	FALSE	11.200001	6	1
E2Maps/tworooms	(5,5)	N5522	N1219	p(5,2);p(5,3);p(5,4);p(5,5);	6	2.0	3	20	FALSE	10.400001	3	2
E2Maps/tworooms	(7,5)	N2496	N9790	p(5,5);p(6,5);p(7,5);	6	3.0	2	20	FALSE	11.400001	6	1
E2Maps/tworooms	(5,2)	N3974	N9790	p(5,5);p(5,4);p(5,3);p(5,2);	6	2.0	3	21	FALSE	10.56	3	2
E2Maps/tworooms	(7,2)	N5589	N144	p(5,2);p(6,2);p(7,2);	6	3.0	2	15	FALSE	9.92	6	1
E2Maps/tworooms	(5,5)	N8929	N144	p(5,2);p(5,3);p(5,4);p(5,5);	6	2.0	3	16	FALSE	9.28	3	2
E2Maps/tworooms	(7,5)	N9502	N5798	p(5,5);p(6,5);p(7,5);	6	3.0	2	16	FALSE	10.12	6	1
E2Maps/tworooms	(5,2)	N2558	N5798	p(5,5);p(5,4);p(5,3);p(5,2);	6	2.0	3	17	FALSE	9.440001	3	2
E2Maps/tworooms	(1,3)	N3252	N3770	p(7,5);p(6,5);p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	7	6.0	8	22	TRUE	12.6	11	0
E2Maps/tworooms	(5,5)	N6596	N5276	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	7	1.0	6	24	TRUE	12.040001	1	0
E2Maps/tworooms	(1,3)	N310	N5642	p(7,5);p(6,5);p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	7	6.0	8	22	TRUE	12.76	11	0
E2Maps/tworooms	(7,2)	N1910	N9460	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);	7	2.0	7	25	TRUE	12.68	3	0
E2Maps/tworooms	(7,5)	N4018	N9615	p(5,5);p(6,5);p(7,5);	7	2.0	2	22	TRUE	12.120001	3	0
E2Maps/tworooms	(7,5)	N650	N2908	p(7,2);p(7,3);p(7,4);p(7,5);	7	1.0	3	24	TRUE	12.280001	1	0
E2Maps/tworooms	(1,3)	N9500	N4029	p(7,2);p(6,2);p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	7	6.0	7	22	TRUE	12.84	11	0
E2Maps/tworooms	(5,2)	N6101	N2449	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);	7	1.0	5	25	TRUE	12.759999	1	0
E2Maps/tworooms	(1,3)	N5730	N6777	p(7,2);p(6,2);p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	7	6.0	7	22	TRUE	13.0	11	0
E2Maps/tworooms	(7,2)	N5394	N8186	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);	7	2.0	7	25	TRUE	12.84	3	0
E2Maps/tworooms	(7,2)	N5968	N4750	p(5,2);p(6,2);p(7,2);	7	2.0	2	23	TRUE	12.84	3	0
E2Maps/tworooms	(7,2)	N1806	N6549	p(7,5);p(7,4);p(7,3);p(7,2);	7	1.0	3	27	TRUE	13.32	1	0
E2Maps/tworooms	(7,5)	N4633	N9815	p(7,2);p(7,3);p(7,4);p(7,5);	7	1.0	3	22	TRUE	12.120001	1	0
E2Maps/tworooms	(7,5)	N6375	N5522	p(5,5);p(6,5);p(7,5);	7	2.0	2	22	TRUE	12.280001	3	0
E2Maps/tworooms	(7,2)	N1757	N2496	p(7,5);p(7,4);p(7,3);p(7,2);	7	1.0	3	23	TRUE	12.360001	1	0
E2Maps/tworooms	(7,2)	N9904	N3974	p(5,2);p(6,2);p(7,2);	7	2.0	2	23	TRUE	12.52	3	0
E2Maps/tworooms	(7,5)	N2245	N5589	p(7,2);p(7,3);p(7,4);p(7,5);	7	1.0	3	18	TRUE	10.68	1	0
E2Maps/tworooms	(7,5)	N3526	N8929	p(5,5);p(6,5);p(7,5);	7	2.0	2	18	TRUE	10.84	3	0
E2Maps/tworooms	(7,2)	N9254	N9502	p(7,5);p(7,4);p(7,3);p(7,2);	7	1.0	3	19	TRUE	10.92	1	0
E2Maps/tworooms	(7,2)	N8516	N2558	p(5,2);p(6,2);p(7,2);	7	2.0	2	19	TRUE	11.080001	3	0
